foil_idx,foil,Re,alpha,nCrit,ncrithyst,converged,failure_mode,newton_iterations,CL,CD,error
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,6.0,0.0,1,,10,0.3144935693182498,0.0073846717052592,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,6.0,0.1,1,,13,0.3146685527764559,0.0073842128194064,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,6.0,0.2,1,,13,0.3146685527764559,0.0073842128194064,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,6.0,0.4,1,,13,0.3146685527764559,0.0073842128194064,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,6.0,0.8,1,,13,0.3146685527764559,0.0073842128194064,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,9.0,0.0,1,,12,0.312897647370082,0.0078496765882814,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,9.0,0.1,1,,12,0.312897647370082,0.0078496765882814,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,9.0,0.2,1,,17,0.312897647544674,0.0078496765776355,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,9.0,0.4,1,,14,0.3128976464733308,0.0078496765710378,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,9.0,0.8,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,12.0,0.0,1,,6,0.2692190659063949,0.0087054035676457,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,12.0,0.1,1,,6,0.2692190659063949,0.0087054035676457,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,12.0,0.2,1,,7,0.2692190643125348,0.0087054035938051,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,12.0,0.4,1,,8,0.2692190923855443,0.0087054031629241,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,0.0,12.0,0.8,1,,11,0.2692194938938638,0.0087053936860521,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,6.0,0.0,1,,9,0.5238857080499097,0.008401304867804,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,6.0,0.1,1,,33,0.523885840251774,0.0084013011787832,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,6.0,0.2,1,,33,0.523885840251774,0.0084013011787832,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,6.0,0.4,1,,33,0.523885840251774,0.0084013011787832,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,6.0,0.8,1,,17,0.5238858401121053,0.0084013011705856,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,9.0,0.0,1,,12,0.5332558968563923,0.0082082582280347,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,9.0,0.1,1,,19,0.5331794417275687,0.0082175988430272,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,9.0,0.2,1,,19,0.5331794417275687,0.0082175988430272,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,9.0,0.4,1,,19,0.5331794417275687,0.0082175988430272,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,9.0,0.8,1,,17,0.53325582285437,0.0082082511803492,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,12.0,0.0,1,,13,0.5445085815521178,0.0084628986411728,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,12.0,0.1,1,,15,0.5445085426570229,0.0084628966837721,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,12.0,0.2,1,,18,0.5445084202811622,0.0084628927725618,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,12.0,0.4,1,,19,0.5445085180503212,0.0084628955674839,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,2.0,12.0,0.8,1,,31,0.5445084367033283,0.0084628933138801,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,6.0,0.0,1,,8,0.7295372523052283,0.0107327232491118,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,6.0,0.1,1,,8,0.7295372523052283,0.0107327232491118,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,6.0,0.2,1,,17,0.7295363859678876,0.0107325584783426,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,6.0,0.4,1,,10,0.7295370337886025,0.0107327602973721,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,6.0,0.8,1,,10,0.7295370337886025,0.0107327602973721,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,9.0,0.0,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,9.0,0.1,1,,33,0.7354904421861521,0.0102071799506064,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,9.0,0.2,1,,33,0.7354904421861521,0.0102071799506064,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,9.0,0.4,1,,33,0.7354904421647482,0.0102071799484139,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,9.0,0.8,1,,29,0.7354904423868519,0.0102071799289267,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,12.0,0.0,1,,40,0.7403692954266605,0.0101048771933875,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,12.0,0.1,0,no_convergence,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,12.0,0.2,1,,30,0.739929797410982,0.0101728785089663,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,12.0,0.4,1,,50,0.7403692958422458,0.0101048772612032,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,4.0,12.0,0.8,1,,48,0.7403692909991054,0.0101048771280431,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,6.0,0.0,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,6.0,0.1,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,6.0,0.2,0,transition_front_oscillation,100,,,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,6.0,0.4,1,,40,0.93057533053085,0.0147092204603274,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,6.0,0.8,1,,49,0.929720552316826,0.0148525550291361,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,9.0,0.0,1,,37,0.930258940272772,0.0150012791275263,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,9.0,0.1,1,,37,0.930258940272772,0.0150012791275263,
4,AG27 Bubble Dancer DLG by Mark Drela,200000.0,6.0,9.0,0.2,1,,33,0.9302591056387256,0.0150012574664453,
