foil,alpha,ncrit,conv,aero_conv,failure_mode,newton_iterations,wall_ms,CL,CD,OASPL,rescue_conv,rescue_conv_guarded
AG17.dat,-4.0,5.0,1,1,,6,84.6,-0.20038745031894337,0.006878587498425856,69.78601785900429,,
AG17.dat,-2.0,5.0,1,1,,6,75.5,0.018560073391074614,0.006337449147346641,69.89304031283159,,
AG17.dat,0.0,5.0,1,1,,4,57.3,0.2391000140137862,0.006036895745550898,69.72740118339665,,
AG17.dat,2.0,5.0,1,1,,7,78.2,0.4593397964788761,0.006309751924522455,69.41747241975928,,
AG17.dat,4.0,5.0,1,1,,30,226.1,0.6763287431306805,0.006704674608158673,67.66024049990344,,
AG17.dat,6.0,5.0,0,0,transition_front_oscillation,100,450.1,,,,1,1
AG17.dat,8.0,5.0,1,1,,7,73.1,1.1017527103895048,0.011627707445843845,68.46318044752206,,
AG17.dat,-4.0,9.0,1,1,,8,82.3,-0.20099540136973645,0.00678909379612411,68.22138749917886,,
AG17.dat,-2.0,9.0,1,1,,8,85.2,0.02413170236119524,0.005369307221047759,69.42636149589252,,
AG17.dat,0.0,9.0,1,1,,7,74.7,0.24187003640456034,0.004900102823788331,69.12475530121785,,
AG17.dat,2.0,9.0,1,1,,6,63.6,0.45965057187893965,0.004709427152101741,67.10103029402704,,
AG17.dat,4.0,9.0,1,1,,7,77.5,0.6783066426221414,0.006258008792371825,67.55591034588699,,
AG17.dat,6.0,9.0,0,0,transition_front_oscillation,100,428.4,,,,1,1
AG17.dat,8.0,9.0,1,1,,7,69.8,1.1008083411130833,0.011998346495393226,68.519192094786,,
AH 79-100 C AIRFOIL.dat,-4.0,5.0,1,1,,7,95.0,0.4703108311994169,0.006633323392761591,71.1945439491302,,
AH 79-100 C AIRFOIL.dat,-2.0,5.0,1,1,,9,94.8,0.6916431840009464,0.006356568547420801,72.36744594261162,,
AH 79-100 C AIRFOIL.dat,0.0,5.0,1,1,,5,63.8,0.9116517866855569,0.006330334887777266,73.620923539669,,
AH 79-100 C AIRFOIL.dat,2.0,5.0,1,1,,18,153.4,1.123772328197542,0.006832447147610199,75.21459488141517,,
AH 79-100 C AIRFOIL.dat,4.0,5.0,1,1,,41,317.7,1.3116018516146657,0.008098315102819614,77.30933061075922,,
AH 79-100 C AIRFOIL.dat,6.0,5.0,0,0,nan_lock,100,290.0,,,,1,1
AH 79-100 C AIRFOIL.dat,8.0,5.0,1,1,,11,101.3,1.5696647052764525,0.01688486797720106,90.56791619116332,,
AH 79-100 C AIRFOIL.dat,-4.0,9.0,1,1,,14,134.1,0.48262014660173747,0.00639520824495692,70.09481510005898,,
AH 79-100 C AIRFOIL.dat,-2.0,9.0,0,0,transition_front_oscillation,100,462.0,,,,1,0
AH 79-100 C AIRFOIL.dat,0.0,9.0,0,0,no_convergence,100,511.4,,,,1,1
AH 79-100 C AIRFOIL.dat,2.0,9.0,1,1,,11,104.7,1.138486954038233,0.0051899170430983405,73.52175415828721,,
AH 79-100 C AIRFOIL.dat,4.0,9.0,1,1,,21,176.6,1.3407764788825152,0.006512294714004983,75.96044619465921,,
AH 79-100 C AIRFOIL.dat,6.0,9.0,1,1,,56,448.5,1.4948148883530314,0.009891047413101175,80.00148185674036,,
AH 79-100 C AIRFOIL.dat,8.0,9.0,0,0,diverged,100,437.1,,,,1,1
AH21 7% version (Andrew Hollom).dat,-4.0,5.0,0,0,transition_front_oscillation,100,531.4,,,,1,1
AH21 7% version (Andrew Hollom).dat,-2.0,5.0,1,1,,32,250.5,0.16836974137619568,0.00537842151386781,67.95816593230391,,
AH21 7% version (Andrew Hollom).dat,0.0,5.0,1,1,,10,98.2,0.36071421190484143,0.005166575665394362,68.98796425212747,,
AH21 7% version (Andrew Hollom).dat,2.0,5.0,1,1,,17,153.0,0.5558834139085839,0.006766056765999951,70.55829225112119,,
AH21 7% version (Andrew Hollom).dat,4.0,5.0,1,1,,34,275.5,0.7610547512224413,0.008170824381523011,71.27780461422067,,
AH21 7% version (Andrew Hollom).dat,6.0,5.0,1,1,,43,356.1,0.9664164991080327,0.009576834587837065,71.79837649092259,,
AH21 7% version (Andrew Hollom).dat,8.0,5.0,1,1,,54,409.1,1.1695441496503935,0.011653246158264543,72.85707382607592,,
AH21 7% version (Andrew Hollom).dat,-4.0,9.0,1,1,,36,269.5,-0.048312204885321994,0.006432747638664484,69.91496064822357,,
AH21 7% version (Andrew Hollom).dat,-2.0,9.0,1,1,,26,207.2,0.17153150288820482,0.004768800129573592,67.76911891147891,,
AH21 7% version (Andrew Hollom).dat,0.0,9.0,1,1,,7,74.9,0.3816883898643599,0.003477029345768863,67.18090886989339,,
AH21 7% version (Andrew Hollom).dat,2.0,9.0,1,1,,34,270.6,0.5664255762748769,0.005158423318489276,69.60250006808606,,
AH21 7% version (Andrew Hollom).dat,4.0,9.0,1,1,,26,204.4,0.7581470134963186,0.007563047037391055,70.71822383025678,,
AH21 7% version (Andrew Hollom).dat,6.0,9.0,1,1,,51,379.1,0.967549409183116,0.0094682659017191,71.78038129452776,,
AH21 7% version (Andrew Hollom).dat,8.0,9.0,1,1,,21,172.5,1.1705187132097292,0.011570013287894232,72.84749026704395,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,-4.0,5.0,1,1,,5,73.4,-0.2554555840871312,0.007783139121754295,69.44838271334243,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,-2.0,5.0,1,1,,6,76.8,-0.03655900032944122,0.00685449091189055,69.23003145504899,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,0.0,5.0,0,0,transition_front_oscillation,100,466.7,,,,1,0
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,2.0,5.0,1,1,,8,92.8,0.38310610159167724,0.0045887225583909905,65.98861631763327,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,4.0,5.0,1,1,,58,463.6,0.6227504504833925,0.006157200156970038,66.98202492928296,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,6.0,5.0,0,0,transition_front_oscillation,100,467.1,,,,1,1
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,8.0,5.0,1,1,,6,67.8,1.0402518698834853,0.011480924271842639,70.20708400916861,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,-4.0,9.0,1,1,,17,152.7,-0.2517040380471112,0.007972481909544363,69.42890498609106,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,-2.0,9.0,1,1,,8,92.8,-0.033310028947735534,0.006610263824930214,69.125716705899,,
BELL-WORTMANN FX 69-H-083 AIRFOIL.dat,0.0,9.0,1,1,,10,97.0,0.1740085621640326,0.004423115725379856,68.07012869448738,,
